"index","input","expected_output","private"
"0","619 1","619","false"
"1","834 8","6672","true"
"2","686 1","686","false"
"3","327 7","2289","true"
"4","621 7","4347","false"
"5","262 5","1310","true"
"6","759 6","4554","false"
"7","465 17","7905","true"
"8","122 43","5246","false"
"9","499 55","27445","true"
"10","346 70","24220","false"
"11","443 75","33225","true"
"12","399 61","24339","false"
"13","372 77","28644","true"
"14","378 165","62370","false"
"15","545 938","511210","true"
"16","115 374","43010","false"
"17","980 314","307720","true"
"18","818 169","138242","false"
"19","796 832","662272","true"
"20","41342 4","165368","false"
"21","83404 5","417020","true"
"22","74362 8","594896","false"
"23","50867 9","457803","true"
"24","94472 12","1133664","false"
"25","14002 36","504072","true"
"26","26100 77","2009700","false"
"27","61468 27","1659636","true"
"28","38622 690","26649180","false"
"29","43921 621","27274941","true"
"30","50165 256","12842240","false"
"31","71202 406","28908012","true"
"32","18327 7585","139010295","false"
"33","20275 8920","180853000","true"
"34","69711 9528","664206408","false"
"35","25108 2266","56894728","true"
"36","15206 94406","1435537636","false"
"37","30732 22872","702902304","true"
"38","42137 42545","1792718665","false"
"39","18154 50064","908861856","true"
"40","6578618 5","32893090","false"
"41","4545738 3","13637214","true"
"42","5352149 3","16056447","false"
"43","9900208 48","475209984","true"
"44","6729172 86","578708792","false"
"45","9514838 94","894394772","true"
"46","2452801 406","995837206","false"
"47","6687354 449","3002621946","true"
"48","2801942 993","2782328406","false"
"49","3713508 7527","27951574716","true"
"50","9807692 2567","25176345364","false"
"51","4990629 6959","34729787211","true"
"52","3965107 12486","49508326002","false"
"53","9259369 49667","459885080123","true"
"54","3897239 65875","256730619125","false"
"55","5583612 406417","2269274838204","true"
"56","6916195 895725","6195008766375","false"
"57","3266737 113071","369373219327","true"
"58","1310437 3405849","4463150546013","false"
"59","3587915 5786219","20760461943385","true"
"60","663407378 6","3980444268","false"
"61","442070954 8","3536567632","true"
"62","381737938 6","2290427628","false"
"63","404148293 73","29502825389","true"
"64","747593978 92","68778645976","false"
"65","170063296 162","27550253952","true"
"66","864479335 108","93363768180","false"
"67","688881187 6886","4743635853682","true"
"68","311924471 2998","935149564058","false"
"69","590211845 86728","51187892893160","true"
"70","243137208 15558","3782728682064","false"
"71","982845327 92191","90609493541457","true"
"72","494071370 378728","187118661817360","false"
"73","135854075 516125","70117684459375","true"
"74","895500666 7604108","6809483778335928","false"
"75","767169440 6141094","4711259644967360","true"
"76","765749337 54230627","41527066670344299","false"
"77","451885506 30867158","13948421311611948","true"
"78","525674526 782458311","411318401749685586","false"
"79","183354009 126450960","23185290457898640","true"
"80","20383872369 7","142687106583","false"
"81","60120123880 9","541081114920","true"
"82","96507587512 44","4246333850528","false"
"83","90773237969 28","2541650663132","true"
"84","19904623274 651","12957909751374","false"
"85","52740480040 439","23153070737560","true"
"86","75618651814 3239","244928813225546","false"
"87","94119668886 7901","743639503868286","true"
"88","10225854559 16015","163767060762385","false"
"89","66094577312 75438","4986042723262656","true"
"90","96221795493 559032","53791062778042776","false"
"91","24621583598 7236177","178166136935424846","true"
"92","71592855407 5465611","391298698033908677","false"
"93","40468709150 28937705","1171071567113500750","true"
"94","51388942958 98241208","5048511834037013264","false"
"95","15693231351 790914745","12412008072202170495","true"
"96","14021230777 811860098","11383277792695836146","false"
"97","29632460687 4963108177","147069107940280737599","true"
"98","72138532057 8407546837","606508087021653453709","false"
"99","58560953333 79323554688","4645262984291641375104","true"
