"index","input","expected_output","private"
"0","4 10 10 3 4
6 3 8 4 9
2 7 9 6 2
8 9 9 10 2
9 10 2 4 2","4 10 10 3 4 9 2 2 2 4 2 10 9 8 2 6 3 8 4 6 10 9 9 7 9","false"
"1","9 1 4 7 9
3 3 7 2 3
6 7 10 8 10
2 7 9 2 9
4 9 8 9 5","9 1 4 7 9 3 10 9 5 9 8 9 4 2 6 3 3 7 2 8 2 9 7 7 10","false"
"2","5 7 4 9 2
10 7 6 2 2
3 9 2 7 4
7 9 9 1 4
6 1 3 10 10","5 7 4 9 2 2 4 4 10 10 3 1 6 7 3 10 7 6 2 7 1 9 9 9 2","false"
"3","10 3 6 9 7
9 7 2 10 8
6 2 5 2 1
2 1 3 1 5
8 2 1 5 9","10 3 6 9 7 8 1 5 9 5 1 2 8 2 6 9 7 2 10 2 1 3 1 2 5","false"
"4","6 4 10 10 4
5 2 4 10 2
10 8 9 8 6
9 5 5 7 1
5 8 6 6 3","6 4 10 10 4 2 6 1 3 6 6 8 5 9 10 5 2 4 10 8 7 5 5 8 9","false"
"5","10 7 6 7 3
8 5 4 5 7
8 4 1 9 1
6 6 5 8 8
10 1 7 10 10","10 7 6 7 3 7 1 8 10 10 7 1 10 6 8 8 5 4 5 9 8 5 6 4 1","false"
"6","1 9 10 8 3
6 1 7 1 1
4 2 2 1 9
8 3 9 7 10
2 9 1 2 3","1 9 10 8 3 1 9 10 3 2 1 9 2 8 4 6 1 7 1 1 7 9 3 2 2","false"
"7","6 5 6 10 6
1 4 6 1 3
4 3 4 4 2
5 1 8 6 2
8 9 3 8 3","6 5 6 10 6 3 2 2 3 8 3 9 8 5 4 1 4 6 1 4 6 8 1 3 4","false"
"8","5 10 8 2 6
9 6 3 1 2
3 9 1 4 8
6 4 6 10 7
3 4 4 1 9","5 10 8 2 6 2 8 7 9 1 4 4 3 6 3 9 6 3 1 4 10 6 4 9 1","false"
"9","6 10 8 5 4
5 3 1 7 1
4 1 5 3 4
3 2 9 6 9
4 5 1 10 8","6 10 8 5 4 1 4 9 8 10 1 5 4 3 4 5 3 1 7 3 6 9 2 1 5","false"
"10","1 5 1 8 7
1 5 10 2 1
2 10 8 1 3
3 1 7 7 5
2 4 3 5 4","1 5 1 8 7 1 3 5 4 5 3 4 2 3 2 1 5 10 2 1 7 7 1 10 8","false"
"11","7 2 2 10 9
8 4 2 7 5
3 3 4 10 2
2 10 8 6 9
3 5 7 6 5","7 2 2 10 9 5 2 9 5 6 7 5 3 2 3 8 4 2 7 10 6 8 10 3 4","false"
"12","8 4 10 10 2
2 2 1 10 7
4 1 7 9 2
4 7 5 2 8
9 8 5 10 3","8 4 10 10 2 7 2 8 3 10 5 8 9 4 4 2 2 1 10 9 2 5 7 1 7","false"
"13","8 7 3 9 3
10 7 7 8 2
1 6 4 7 10
9 2 10 6 6
4 3 3 1 2","8 7 3 9 3 2 10 6 2 1 3 3 4 9 1 10 7 7 8 7 6 10 2 6 4","false"
"14","8 9 9 7 10
9 7 5 10 10
2 4 4 1 6
7 3 3 1 1
6 2 10 6 4","8 9 9 7 10 10 6 1 4 6 10 2 6 7 2 9 7 5 10 1 1 3 3 4 4","false"
"15","6 10 9 1 8
6 2 5 6 9
6 10 4 7 9
1 5 9 1 4
3 6 1 4 1","6 10 9 1 8 9 9 4 1 4 1 6 3 1 6 6 2 5 6 7 1 9 5 10 4","false"
"16","6 3 3 8 9
4 4 1 6 10
2 8 2 3 2
7 8 10 6 2
6 8 5 8 7","6 3 3 8 9 10 2 2 7 8 5 8 6 7 2 4 4 1 6 3 6 10 8 8 2","false"
"17","1 10 9 3 8
2 3 5 1 1
10 4 6 10 5
4 6 4 7 3
5 7 10 7 5","1 10 9 3 8 1 5 3 5 7 10 7 5 4 10 2 3 5 1 10 7 4 6 4 6","false"
"18","1 1 4 1 2
4 7 8 9 7
9 4 5 1 9
6 6 1 3 1
10 7 3 4 6","1 1 4 1 2 7 9 1 6 4 3 7 10 6 9 4 7 8 9 1 3 1 6 4 5","false"
"19","7 10 7 7 5
8 10 8 2 3
3 10 5 6 3
1 2 3 1 6
6 4 4 8 2","7 10 7 7 5 3 3 6 2 8 4 4 6 1 3 8 10 8 2 6 1 3 2 10 5","false"
"20","9 8 7 6 8
1 8 9 9 1
10 2 2 4 4
4 5 8 3 5
4 2 10 7 2","9 8 7 6 8 1 4 5 2 7 10 2 4 4 10 1 8 9 9 4 3 8 5 2 2","true"
"21","4 10 3 10 8
2 4 2 5 7
4 6 9 8 4
10 1 4 9 3
8 5 3 1 8","4 10 3 10 8 7 4 3 8 1 3 5 8 10 4 2 4 2 5 8 9 4 1 6 9","true"
"22","9 2 10 6 9
6 10 9 2 9
10 9 6 7 10
10 1 5 9 2
8 2 4 6 7","9 2 10 6 9 9 10 2 7 6 4 2 8 10 10 6 10 9 2 7 9 5 1 9 6","true"
